"Date","Season","Team","Spread","Team2"
1117,2008,"illinois-chicago",4,"nc charlotte"
1117,2008,"monmouth",10,"wichita state"
1117,2008,"tennessee state",-2.5,"colorado state"
1117,2008,"s car upstate",15.5,"iupui"
1117,2008,"oregon state",-9,"alaska fairbanks"
1117,2008,"portland state",6.5,"akron"
1117,2008,"lipscomb",4.5,"san jose state"
1117,2008,"appalachian st",1,"middle tenn st"
1117,2008,"presbyterian",9.5,"loyola marymount"
1117,2008,"st. bonaventure",19.5,"new mexico"
1117,2008,"stanford",-8.5,"siena"
1117,2008,"morehead state",12.5,"bowling green"
1117,2008,"delaware",7,"rider"
1117,2008,"manhattan",8,"hofstra"
1117,2008,"georgia state",5.5,"elon"
1117,2008,"tenn-martin",26,"mississippi st"
1117,2008,"murray state",11.5,"western kentucky"
1117,2008,"furman",17,"saint louis"
1117,2008,"nc greensboro",6.5,"missouri st"
1117,2008,"denver",6,"northern colorado"
1117,2008,"sacramento state",12.5,"san francisco"
1118,2008,"old dominion",13,"clemson"
1118,2008,"nc wilmington",12,"illinois state"
1118,2008,"northern iowa",-1,"wi milwaukee"
1118,2008,"new orleans",18,"nc state"
1118,2008,"marist",5,"temple"
1118,2008,"col charleston",8,"houston"
1118,2008,"va commonwealth",7.5,"arkansas"
1118,2008,"miami (fl)",-1,"providence"
1118,2008,"cleveland state",-5,"florida atlantic"
1118,2008,"uab",1,"rhode island"
1118,2008,"stetson",11.5,"georgia southern"
1118,2008,"florida state",-7.5,"south florida"
1118,2008,"s car upstate",9,"oregon st."
1118,2008,"tennessee st.",11,"akron"
1118,2008,"iupui",-11.5,"alaska-fairbanks"
1118,2008,"portland state",-3,"colorado st."
1118,2008,"presbyterian",10.5,"st. bonaventure"
1118,2008,"loyola marymount",23.5,"new mexico"
1118,2008,"winthrop",3,"georgia tech"
1118,2008,"baylor",5.5,"notre dame"
1118,2008,"iona",34,"north carolina"
1118,2008,"eastern washington",21.5,"washington"
1119,2008,"western michigan",-2,"detroit"
1119,2008,"santa clara",10,"utah"
1119,2008,"san diego state",-4,"san diego"
1119,2008,"illinois-chicago",2,"wichita state"
1119,2008,"monmouth",7,"nc charlotte"
1119,2008,"notre dame",-4,"georgia tech"
1119,2008,"winthrop",2,"baylor"
1119,2008,"marquette",-22.5,"chaminade"
1119,2008,"lsu",-1.5,"oklahoma state"
1119,2008,"princeton",22.5,"duke"
1119,2008,"arizona state",2,"illinois"
1119,2008,"maryland",10.5,"ucla"
1119,2008,"missouri",4,"michigan state"
1120,2008,"georgia state",20,"florida state"
1120,2008,"nc wilmington",21.5,"indiana"
1120,2008,"northern illinois",11.5,"indiana state"
1120,2008,"middle tenn st",22.5,"tennessee"
1120,2008,"dartmouth",16,"rutgers"
1120,2008,"drexel",9.5,"virginia"
1120,2008,"valparaiso",14,"vanderbilt"
1120,2008,"minnesota",1,"iowa state"
1120,2008,"richmond",-1,"rice"
1120,2008,"arkansas state",26.5,"memphis"
1120,2008,"san francisco",8,"california-santa barbara"
1120,2008,"oregon",-5,"saint marys ca"
1120,2008,"yale",18,"stanford"
1120,2008,"lsu",-14,"chaminade"
1120,2008,"princeton",9,"arizona state"
1120,2008,"oklahoma state",3.5,"marquette"
1120,2008,"illinois",6.5,"duke"
1120,2008,"maryland",4,"missouri"
1120,2008,"michigan state",3.5,"ucla"
1120,2008,"loyola maryland",6,"seton hall"
1120,2008,"iona",18,"old dominion"
